,year,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,salary,single,slg %,obp,batting avg,ops,tb,rc,babip,pa,xbh,iso,bb/pa,so/pa,high_paid_y,high_paid_n
109,0,27,45,6,12,2,1,1,2,0,0,0,4,0,1,1,0,1,500000,8,0.4222222222222222,0.2826086956521739,0.26666666666666666,0.7048309178743961,19,5.066666666666666,0.275,47,4,4.066666666666666,0.0,0.0851063829787234,1,0
111,0,155,576,79,173,41,8,11,73,2,1,52,51,4,1,0,5,15,415500,113,0.4565972222222222,0.35646687697160884,0.3003472222222222,0.813064099193831,263,94.22770700636943,0.31213872832369943,634,60,57.057291666666664,0.08201892744479496,0.0804416403785489,1,0
112,0,149,544,78,136,32,3,24,70,7,3,75,156,3,4,0,5,12,10000000,77,0.4522058823529412,0.34235668789808915,0.25,0.7945625702510304,246,83.8546042003231,0.3035230352303523,628,59,38.13235294117647,0.11942675159235669,0.2484076433121019,0,1
115,0,161,637,103,204,48,2,25,85,5,7,30,63,2,3,0,4,22,6000000,129,0.5196232339089482,0.3516320474777448,0.3202511773940345,0.871255281386693,331,116.12293853073463,0.32368896925858953,674,75,52.11773940345369,0.04451038575667656,0.09347181008902077,0,1
116,0,149,585,67,169,42,0,16,100,3,1,47,81,4,6,0,5,15,3500000,111,0.4427350427350427,0.3452566096423017,0.28888888888888886,0.7879916523773445,259,88.51898734177215,0.3103448275862069,643,58,42.08205128205128,0.07309486780715396,0.12597200622083982,0,1
119,0,17,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,425000,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,0,0.0,0.0,0.5,1,0
121,0,28,63,3,11,3,0,1,7,0,0,2,13,0,1,3,0,1,13302583,7,0.2698412698412698,0.21212121212121213,0.1746031746031746,0.4819624819624819,17,3.4,0.20408163265306123,69,4,3.0476190476190474,0.028985507246376812,0.18840579710144928,0,1
123,0,92,141,18,33,8,2,3,18,0,0,11,33,1,4,1,1,2,400000,20,0.3829787234042553,0.3057324840764331,0.23404255319148937,0.6887112074806885,54,15.631578947368421,0.2830188679245283,158,13,12.063829787234043,0.06962025316455696,0.2088607594936709,1,0
124,0,93,315,53,87,10,2,2,26,4,2,36,63,0,3,3,1,8,2500000,73,0.3396825396825397,0.35492957746478876,0.2761904761904762,0.6946121171473285,107,37.495726495726494,0.3386454183266932,358,14,14.019047619047619,0.1005586592178771,0.17597765363128492,0,1
125,0,4,5,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,400000,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6,0,0.0,0.0,0.6666666666666666,1,0
126,0,80,228,25,46,7,3,0,17,11,0,22,36,0,3,2,1,6,427500,36,0.25877192982456143,0.2795275590551181,0.20175438596491227,0.5382994888796795,59,16.048,0.23834196891191708,256,10,13.0,0.0859375,0.140625,1,0
127,0,142,486,77,147,12,3,1,40,20,6,69,58,3,1,19,5,15,6250000,131,0.345679012345679,0.3868092691622103,0.30246913580246915,0.7324882815078892,168,65.38378378378378,0.33796296296296297,580,16,18.006172839506174,0.11896551724137931,0.1,0,1
128,0,26,79,5,20,5,0,3,13,0,0,8,16,1,0,0,0,3,2625000,12,0.43037974683544306,0.3218390804597701,0.25316455696202533,0.7522188272952132,34,10.942528735632184,0.2833333333333333,87,8,5.113924050632911,0.09195402298850575,0.1839080459770115,0,1
129,0,59,186,15,31,4,2,5,17,3,2,10,50,1,1,9,0,6,822500,20,0.2903225806451613,0.2131979695431472,0.16666666666666666,0.5035205501883085,54,11.295918367346939,0.1984732824427481,206,11,8.080645161290322,0.04854368932038835,0.24271844660194175,1,0
130,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,432575,0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,0,0.0,0.0,0.0,1,0
131,0,54,161,17,44,3,1,2,13,9,1,14,22,1,0,5,2,4,2050000,38,0.3416149068322981,0.327683615819209,0.2732919254658385,0.6692985226515071,55,18.228571428571428,0.302158273381295,182,6,5.037267080745342,0.07692307692307693,0.12087912087912088,0,1
132,0,8,30,0,3,1,0,0,1,0,0,1,7,0,0,0,0,0,11500000,2,0.13333333333333333,0.12903225806451613,0.1,0.26236559139784943,4,0.5161290322580645,0.13043478260869565,31,1,1.0,0.03225806451612903,0.22580645161290322,0,1
133,0,73,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,402000,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,1.0,1,0
134,0,156,583,87,175,38,6,20,86,21,2,78,151,5,17,0,7,9,420300,111,0.4888507718696398,0.39416058394160586,0.30017152658662094,0.8830113558112457,285,109.08472012102874,0.36992840095465396,685,64,50.102915951972555,0.11386861313868613,0.22043795620437956,1,0
